name,year,song_name,performed_by
Se7en,1995,Gypsy Csardas,
Se7en,1995,The Fourth Man,
Se7en,1995,Love Plus One,Haircut 100
Se7en,1995,I Cover the Waterfront,Billie Holiday
Se7en,1995,Lust,
Se7en,1995,In the Beginning,The Statler Brothers
Se7en,1995,Guilty,Gravity Kills
Se7en,1995,Speaking of Happiness,Gloria Lynne
Se7en,1995,The Hearts Filthy Lesson,David Bowie
It's a Wonderful Life,1946,Buffalo Gal (Won't You Come Out Tonight),
It's a Wonderful Life,1946,Adeste Fidelis (O Come All Ye Faithful),
It's a Wonderful Life,1946,"Twinkle, Twinkle, Little Star",
It's a Wonderful Life,1946,Charleston,
It's a Wonderful Life,1946,My Wild Irish Rose,Thomas Mitchell
It's a Wonderful Life,1946,Avalon,
It's a Wonderful Life,1946,Wedding March,
It's a Wonderful Life,1946,The Stars and Stripes Forever,"George, Tilly, and Eustace"
It's a Wonderful Life,1946,Song of the Islands,
It's a Wonderful Life,1946,I Love You Truly,Ward Bond and Frank Faylen
It's a Wonderful Life,1946,"This Is the Army, Mr. Jones",
It's a Wonderful Life,1946,When Johnny Comes Marching Home,
It's a Wonderful Life,1946,Hark! The Herald Angels Sing,Carol Coombs
It's a Wonderful Life,1946,"Vieni, Vieni",
It's a Wonderful Life,1946,King Porter Stomp,
It's a Wonderful Life,1946,Auld Lang Syne,
It's a Wonderful Life,1946,O Sole Mio,
It's a Wonderful Life,1946,The Best Things in Life are Free,
The Silence of the Lambs,1991,American Girl,Tom Petty & The Heartbreakers (as Tom Petty and the Heartbreakers)
The Silence of the Lambs,1991,Alone,Colin Newman
The Silence of the Lambs,1991,Sunny Day,Book of Love
The Silence of the Lambs,1991,Real Men,Savage Republic
The Silence of the Lambs,1991,Goldberg Variations,Jerry Zimmerman
The Silence of the Lambs,1991,Goodbye Horses,Q. Lazzarus
The Silence of the Lambs,1991,Hip Priest,The Fall
The Silence of the Lambs,1991,Lanmò Nan Zile A,
The Silence of the Lambs,1991,Rock of Ages,
The Silence of the Lambs,1991,The Magic Flute,
Saving Private Ryan,1998,Solitude,
Saving Private Ryan,1998,Tu es Partout,Édith Piaf
Saving Private Ryan,1998,C'était une Histoire d'Amour,Édith Piaf
City of God,2002,Alvorada,Cartola Peer Music do Brasil Edições Musicais Ltda
City of God,2002,Azul da Cor do Mar,Tim Maia Warner Chappell Edições Musicais Ltda
City of God,2002,Dance Across the Floor,Jimmy 'Bo' Horne EMI Music Ltda Div. Itaipu / EMI Longitude Music / Harrick Music
City of God,2002,Get Up I Feel Like Being Like (Sex Machine),James Brown Dynatone Publishing Company
City of God,2002,Hold Back the Water,Bachman-Turner Overdrive Sony Music Edições Musicais Ltda
City of God,2002,Hot Pants Road,JB's Dynatone Publishing Company
City of God,2002,Kung Fu Fighting,Carl Douglas Schacht Music Inc. / Editora Femata / Sanctuary Records Group Inc.
City of God,2002,Magrelinha,Luiz Melodia Warner Chappell Edições Musicais Ltda
City of God,2002,Metamorfose Ambulante,Raul Seixas Warner Chappell Edições Musicais Ltda
City of God,2002,"Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê)",Hyldon Warner Chappell Edições Musicais Ltda
City of God,2002,Nem Vem Que Não Tem,Wilson Simonal Editora Fermata / Edclave Edições Clave Ltda (c) 1967
City of God,2002,O Caminho Do Bem,Tim Maia Seroma Produções e Edições Musicais Ltda / Vitória Régia Discos Ltda
City of God,2002,Preciso Me Encontrar,Cartola BMG Music Publishing Brasil
City of God,2002,So Very Hard to Go,Tower of Power Bob-a-Lew Music / Arika Music
Life Is Beautiful,1997,Marcia Reale,
Life Is Beautiful,1997,Belle nuit (Barcarolle),"Montserrat Caballé (as M. Caballé), soprano and Shirley Verrett (as S. Verret), mezzo-soprano"
The Green Mile,1999,Charmaine,Mantovani
The Green Mile,1999,Cheek to Cheek,Fred Astaire
The Green Mile,1999,Old Fashioned Love,Eddy Howard
The Green Mile,1999,Old Alabama,B.B. and Group
The Green Mile,1999,I Can't Give You Anything But Love,Billie Holiday
The Green Mile,1999,Star Dust,Eddy Howard
The Green Mile,1999,Three Little Words,Duke Ellington
The Green Mile,1999,Did You Ever See a Dream Walking,Gene Austin
The Green Mile,1999,Wrap Your Troubles in Dreams (And Dream Your Troubles Away),Eddy Howard
The Green Mile,1999,Charmaine,Guy Lombardo and The Royal Canadians (as His Royal Canadians)
Interstellar,2014,Do Not Go Gentle Into that Good Night,
Terminator 2: Judgment Day,1991,You Could Be Mine,Guns N' Roses
Terminator 2: Judgment Day,1991,Bad to the Bone,George Thorogood & The Destroyers (as George Thorogood and The Destroyers)
Terminator 2: Judgment Day,1991,"Guitars, Cadillacs",
Back to the Future,1985,THE POWER OF LOVE,Huey Lewis & The News (as Huey Lewis and The News)
Back to the Future,1985,BACK IN TIME,Huey Lewis & The News (as Huey Lewis and The News)
Back to the Future,1985,HEAVEN IS ONE STEP AWAY,Eric Clapton
Back to the Future,1985,TIME BOMB TOWN,Lindsey Buckingham
Back to the Future,1985,MR. SANDMAN,The Four Aces (as Four Aces)
Back to the Future,1985,THE BALLAD OF DAVY CROCKETT,Fess Parker
Back to the Future,1985,THE WALLFLOWER (DANCE WITH ME HENRY),Etta James
Back to the Future,1985,Out The Window,
Back to the Future,1985,NIGHT TRAIN,"Harry Waters Jr. (as Marvin Berry) and (Tommy Thomas, Granville 'Danny' Young, David Harold Brown, and Lloyd L. Tolbert) (as The Starlighters)"
Back to the Future,1985,PLEDGING MY LOVE,Johnny Ace
Back to the Future,1985,EARTH ANGEL (WILL YOU BE MINE),"Harry Waters Jr. (as Marvin Berry) and (Tommy Thomas, Granville 'Danny' Young, David Harold Brown, and Lloyd L. Tolbert) (as The Starlighters)"
Back to the Future,1985,JOHNNY B. GOODE,
Back to the Future,1985,Out The Window,
Spirited Away,2001,Ano natsu e,
Spirited Away,2001,Tôri michi,
Spirited Away,2001,Daremoinai ryôri-ten,
Spirited Away,2001,Yoru kuru,
Spirited Away,2001,Ryû no shônen,
Spirited Away,2001,Boirâ mushi,
Spirited Away,2001,Kamisama-tachi,
Spirited Away,2001,Yubâba,
Spirited Away,2001,Yuya no asa,
Spirited Away,2001,Ano hi no kawa,
Spirited Away,2001,Shigoto wa tsurai ze,
Spirited Away,2001,Okusare-gami,
Spirited Away,2001,Sen no yûki,
Spirited Away,2001,Sokonashi ana,
Spirited Away,2001,Kaonashi,
Spirited Away,2001,6-Banme no eki,
Spirited Away,2001,Yubâba kyôran,
Spirited Away,2001,Numa no soko no ie,
Spirited Away,2001,Futatabi,
Spirited Away,2001,Kaeru hi,
Spirited Away,2001,Itsumo Nando-demo,
Spirited Away,2001,Paradise,Natural and Ben Bledsoe
Léon: The Professional,1994,Shape Of My Heart,Sting
Léon: The Professional,1994,The Experience of Love,Éric Serra
Léon: The Professional,1994,Venus As A Boy,Björk
Léon: The Professional,1994,I Like Myself,Gene Kelly (uncredited)
Léon: The Professional,1994,Like a Virgin,Natalie Portman (uncredited)
Léon: The Professional,1994,Happy Birthday,Natalie Portman (uncredited)
Léon: The Professional,1994,Singing in the Rain,Natalie Portman (uncredited)
The Pianist,2002,"Nocturne in C# Minor, Posthumous",
The Pianist,2002,"Grande Polonaise Brillante, Op. 22 - Allegro Molto",
The Pianist,2002,"Ballad No. 1 in G Minor, Op. 23",
The Pianist,2002,"Sonata No. 14 in C# Minor, Op. 27/2: 'Mondscheinsonate'",
The Pianist,2002,Suite No. 1 BWV 1007 for Solo Cello,Jerzy Wolochowicz
The Pianist,2002,"Tantz, Tantz Yidelekh",The Burning Bush
The Pianist,2002,Umowilem sie z nia na dziewiata,
The Pianist,2002,Marsz Strzelcow,
The Pianist,2002,Polish National Anthem,
Parasite,2019,"Rodelinda: Act 2 - Spietati, io vi giurai",
Parasite,2019,In Ginocchio Da Te,Gianni Morandi Sony Music
Parasite,2019,A Glass of Soju,Choi Woo-sik (as Choi Woo Shik)
The Lion King,1994,Circle of Life,Carmen Twillie
The Lion King,1994,Nants' Ingonyama,Lebo M.
The Lion King,1994,I Just Can't Wait to Be King,
The Lion King,1994,The Morning Report,Evan Saucedo and Jeff Bennett (Special Edition only)
The Lion King,1994,Be Prepared,
The Lion King,1994,Hakuna Matata,"Nathan Lane, Ernie Sabella, Jason Weaver, and Joseph Williams Background Singer: Rodney Saulsberry (uncredited)"
The Lion King,1994,Can You Feel the Love Tonight,"Nathan Lane, Ernie Sabella, Sally Dworsky, Joseph Williams, and Kristle Murden"
The Lion King,1994,The Lion Sleeps Tonight,
The Lion King,1994,It's a Small World,
The Lion King,1994,I've Got a Lovely Bunch of Coconuts,
The Lion King,1994,Hawaiian War Chant,Nathan Lane (uncredited)
The Lion King,1994,Can You Feel the Love Tonight (End Title),"Elton John Piano: Elton John Guitar: Davey Johnstone Drums: Chuck Sabo Bass: Phil Spalding Background vocals: Rick Astley, Gary Barlow, Kiki Dee, Robert Englund, Davey Johnstone, and the London Symphony Chorus"
The Lion King,1994,Nobody Knows the Trouble I've Seen,
The Lion King,1994,Eluring,Silvi Vrait
The Lion King,1994,Eluring (Circle of Life Estonian Version),Silvi Vrait
Gladiator,2000,Pavor,Synaulia
Gladiator,2000,Etruria,Synaulia
Gladiator,2000,Now We Are Free,
American History X,1998,Battle Hymn of the Republic,
American History X,1998,The White Man Marches On,
The Usual Suspects,1995,Le sons et les parfums tournent dans l'air du soir,Jon Kull
The Usual Suspects,1995,Steppin' Out,Paul Nelson
The Usual Suspects,1995,Old MacDonald Had a Farm,
The Departed,2006,Gimme Shelter,The Rolling Stones
The Departed,2006,Minstrel Boy,the N.Y.P.D. Emerald Society Pipes and Drums (as NYPD Emerald Society Pipes and Drums)
The Departed,2006,Scotland the Brave,the N.Y.P.D. Emerald Society Pipes and Drums (as NYPD Emerald Society Pipes and Drums)
The Departed,2006,I'm Shipping Up to Boston,Dropkick Murphys (as The Dropkick Murphys)
The Departed,2006,Thief's Theme,The Incredible Bongo Band
The Departed,2006,One Way Out,The Allman Brothers Band
The Departed,2006,Nobody But Me,The Human Beinz
The Departed,2006,Let it Loose,The Rolling Stones
The Departed,2006,Sweet Dreams,Patsy Cline
The Departed,2006,"Well, Well, Well",John Lennon
The Departed,2006,Bang Bang,Joe Cuba
The Departed,2006,"Sail On, Sailor",The Beach Boys
The Departed,2006,Sancta Maria,
The Departed,2006,Baby Blue,Badfinger
The Departed,2006,"Chi mi frena (Sextet, Act 2)","Daniela Lojarro, Gisella Pasino, Giuseppe Sabbatini, Michael Knapp, Michele Pertusi, Marco Chingari"
The Departed,2006,Comfortably Numb,"Roger Waters, Van Morrison, The Band"
The Departed,2006,Tweedlee Dee,La Vern Baker (as LaVern Baker)
The Departed,2006,Lucia di Lammermoor: Act 1: Preludio - Percorrete le spiaggie vicine,Orchestra dell'Accademia Nazionale di Santa Cecilia (as Santa Cecilia Academy Orchestra)
The Departed,2006,Theme from Symphony No. 5 in E Minor,the N.Y.P.D. Emerald Society Pipes and Drums (as NYPD Emerald Society Pipes and Drums)
The Departed,2006,Sweet Dreams,Roy Buchanan
The Departed,2006,Mother Machree,
The Prestige,2006,Drinkin' Down the Rose & Crown,
The Prestige,2006,Tripping Gaily,
The Prestige,2006,Eel Pie and Mash,
The Prestige,2006,Butterfly Etude,
The Prestige,2006,Vowel Movement,
The Prestige,2006,Bathroom Scales,
The Prestige,2006,Princess Waltz,
